date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns
2022_07_18,FALSE,channel1,FF05494827,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_07_25,FALSE,channel1,FF06995962,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_06_29,FALSE,channel1,FF06995989,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_26,FALSE,channel1,FF06996053,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HCN3CDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NVP_0801_AHCN3CDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_08,FALSE,channel1,FF06996158,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_26,FALSE,channel1,FF06996167,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HCN3CDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NVP_0801_AHCN3CDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_27,FALSE,channel1,FF06996188,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HCN3CDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NVP_0801_AHCN3CDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_25,FALSE,channel1,FF06996447,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_07_26,FALSE,channel1,FF06996546,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HCN3CDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NVP_0801_AHCN3CDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_08,FALSE,channel1,FF06996606,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_25,FALSE,channel1,FF06996650,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_07_20,FALSE,channel1,FF06996751,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
