date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,mkfastq
2022_07_19,FALSE,channel1,FF04678437,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,40000,,,,TRUE,batch1,
2022_07_20,FALSE,channel1,FF04678447,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,40000,,,,TRUE,batch1,
2022_07_07,FALSE,channel1,FF04678513,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,7000,40000,,,,TRUE,batch1,
2022_08_30,FALSE,channel1,FF04678987_FF06996781_FF04677885_FF03155069,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HFTFVDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220830_SL-NVB_1032_AHFTFVDRX2,400,200,20,2000,25000,,,,TRUE,batch1,
2022_08_30,FALSE,channel1,FF04678987_FF06996781_FF04677885_FF03155069_2,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HFTFVDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220830_SL-NVB_1032_AHFTFVDRX2,400,200,20,2000,25000,,,,TRUE,batch1,
2022_05_25,FALSE,channel1,FF04679098_FF06997634_FF04678212_FF05494533,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,H3VFYDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220602_SL-NSA_0375_AH3VFYDRX2,400,200,20,3000,30000,,,,TRUE,batch1,
2022_07_07,FALSE,channel1,FF04679204,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,4000,40000,,,,TRUE,batch1,
2022_07_18,FALSE,channel1,FF04679225,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,5000,40000,,,,TRUE,batch1,
2022_07_07,FALSE,channel1,FF04679300,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,5000,40000,,,,TRUE,batch1,
2022_07_20,FALSE,channel1,FF04679318,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,35000,,,,TRUE,batch1,
2022_06_29,FALSE,channel1,FF04679331,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,4000,35000,,,,TRUE,batch1,
2022_07_18,FALSE,channel1,FF04679336,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,3000,35000,,,,TRUE,batch1,
2022_03_24,FALSE,channel1,FF04679370,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,H3CNLDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220401_SL-NVN_0674_AH3CNLDRX2,400,200,20,4000,35000,,,,TRUE,batch1,
2022_07_25,FALSE,channel1,FF04679432,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,4000,35000,,,,TRUE,batch1,
2022_07_26,FALSE,channel1,FF04679453,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HCN3CDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NVP_0801_AHCN3CDMXY,400,200,20,2000,20000,,,,TRUE,batch1,
